"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 10 12:21:14 GMT 2023","Tue Oct 10 12:21:55 GMT 2023","40982","webkit","first_task.spec.js","internship task","","","should generate script",""
"passed","Tue Oct 10 12:12:17 GMT 2023","Tue Oct 10 12:12:17 GMT 2023","626","chromium","example.spec.js","","","","get started link",""
"passed","Tue Oct 10 12:12:33 GMT 2023","Tue Oct 10 12:12:36 GMT 2023","3486","chromium","first_task.spec.js","internship task","","","should check header visibility",""
"passed","Tue Oct 10 12:13:13 GMT 2023","Tue Oct 10 12:13:17 GMT 2023","3499","firefox","first_task.spec.js","internship task","","","should check header visibility",""
"passed","Tue Oct 10 12:12:17 GMT 2023","Tue Oct 10 12:12:25 GMT 2023","7626","chromium","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"passed","Tue Oct 10 12:13:32 GMT 2023","Tue Oct 10 12:13:38 GMT 2023","5859","firefox","first_task.spec.js","internship task","","","should not log in",""
"broken","Tue Oct 10 12:15:07 GMT 2023","Tue Oct 10 12:15:47 GMT 2023","40860","webkit","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"passed","Tue Oct 10 12:12:52 GMT 2023","Tue Oct 10 12:12:54 GMT 2023","2721","firefox","example.spec.js","","","","has title",""
"passed","Tue Oct 10 12:13:05 GMT 2023","Tue Oct 10 12:13:13 GMT 2023","8413","firefox","first_task.spec.js","internship task","","","should show correct search results",""
"broken","Tue Oct 10 12:19:15 GMT 2023","Tue Oct 10 12:19:56 GMT 2023","40856","webkit","first_task.spec.js","internship task","","","should check header visibility",""
"passed","Tue Oct 10 12:13:42 GMT 2023","Tue Oct 10 12:13:44 GMT 2023","2026","webkit","example.spec.js","","","","get started link",""
"passed","Tue Oct 10 12:12:54 GMT 2023","Tue Oct 10 12:12:55 GMT 2023","1161","firefox","example.spec.js","","","","get started link",""
"passed","Tue Oct 10 12:12:55 GMT 2023","Tue Oct 10 12:13:05 GMT 2023","9199","firefox","first_task.spec.js","internship task","","","should not sign up with wrong inputs",""
"passed","Tue Oct 10 12:12:25 GMT 2023","Tue Oct 10 12:12:33 GMT 2023","7946","chromium","first_task.spec.js","internship task","","","should show correct search results",""
"broken","Tue Oct 10 12:23:11 GMT 2023","Tue Oct 10 12:23:52 GMT 2023","40885","webkit","first_task.spec.js","internship task","","","should not log in",""
"broken","Tue Oct 10 12:17:11 GMT 2023","Tue Oct 10 12:17:52 GMT 2023","40867","webkit","first_task.spec.js","internship task","","","should show correct search results",""
"passed","Tue Oct 10 12:13:39 GMT 2023","Tue Oct 10 12:13:42 GMT 2023","3239","webkit","example.spec.js","","","","has title",""
"passed","Tue Oct 10 12:13:17 GMT 2023","Tue Oct 10 12:13:32 GMT 2023","15221","firefox","first_task.spec.js","internship task","","","should generate script",""
"passed","Tue Oct 10 12:12:46 GMT 2023","Tue Oct 10 12:12:51 GMT 2023","4790","chromium","first_task.spec.js","internship task","","","should not log in",""
"passed","Tue Oct 10 12:12:36 GMT 2023","Tue Oct 10 12:12:46 GMT 2023","10025","chromium","first_task.spec.js","internship task","","","should generate script",""
"passed","Tue Oct 10 12:12:16 GMT 2023","Tue Oct 10 12:12:17 GMT 2023","896","chromium","example.spec.js","","","","has title",""
